Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2022_United States_Sprint,VER,1,C4,Exponential with Asymptote,0.05012949253968308,0.6485737855296365,1.1666666666666667,[101.6159286    0.77838692 102.67903644],35.523529411764706,29.28529411764706
2022_United States_Sprint,VER,4,C4,Exponential with Asymptote,0.055928895713236046,0.3666317186494239,1.1,[9.99096803e+01 2.91101078e-03 1.10913000e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,GAS,2,C3,Exponential,0.015120833561649371,0.110769356069649,0.8,[1.03859363e+02 2.95544966e-04],35.523529411764706,29.28529411764706
2022_United States_Sprint,PER,1,C4,Exponential with Asymptote,0.1369461313115265,0.16935004968891176,0.7692307692307693,[1.02837907e+02 4.80159637e-02 1.04062783e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,PER,4,C4,Exponential with Asymptote,0.07062105417216848,0.5104330606987518,0.7058823529411765,[9.98416822e+01 5.18579031e-03 1.10940500e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,ALO,1,C3,Exponential with Asymptote,0.07316766697489593,0.26401771890943115,1.125,[105.15831206   1.         104.51030417],35.523529411764706,29.28529411764706
2022_United States_Sprint,LEC,1,C4,Exponential,0.17588458212760832,0.29348360553301467,1.0,[1.03849013e+02 5.66998319e-04],35.523529411764706,29.28529411764706
2022_United States_Sprint,LEC,3,C4,Exponential with Asymptote,0.10400905655044186,0.4886856296607487,0.7368421052631579,[9.99063962e+01 6.71613866e-02 1.01402329e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,STR,1,C4,Exponential with Asymptote,0.40547910595019593,0.21882976219278805,1.0,[103.1399819    0.36993724 104.30382715],35.523529411764706,29.28529411764706
2022_United States_Sprint,MAG,1,C3,Exponential with Asymptote,0.11300514513144602,0.700464930675354,1.125,[106.90994696   0.80664046 104.89835273],35.523529411764706,29.28529411764706
2022_United States_Sprint,TSU,1,C4,Exponential with Asymptote,0.17254394054831168,0.11820756228369811,1.1111111111111112,[105.28234105   1.         104.79555714],35.523529411764706,29.28529411764706
2022_United States_Sprint,TSU,2,C4,Exponential with Asymptote,0.12810587178152527,0.22096898999786863,1.3333333333333333,[103.17886414   1.         103.72111769],35.523529411764706,29.28529411764706
2022_United States_Sprint,TSU,6,C3,Exponential with Asymptote,0.12683494742591744,0.29446698143671357,0.8571428571428571,[102.09750823   0.26651826 102.94208186],35.523529411764706,29.28529411764706
2022_United States_Sprint,ALB,2,C4,Exponential with Asymptote,0.06665934235847401,0.8007210597147674,1.4285714285714286,[102.99141285   0.33689359 104.77399745],35.523529411764706,29.28529411764706
2022_United States_Sprint,ZHO,1,C4,Exponential with Asymptote,0.264413910471094,0.10192718284226998,0.5,[1.04704815e+02 6.41793211e-03 1.16551600e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,RIC,1,C4,Linear (fallback),0.2178875481481507,0.051286053125717324,1.3333333333333333,"[np.float64(0.04203333333333272), np.float64(105.03486666666667)]",35.523529411764706,29.28529411764706
2022_United States_Sprint,OCO,1,C3,Exponential with Asymptote,0.11404957789610813,0.19548590004758393,1.2,[105.217808     1.         104.56971633],35.523529411764706,29.28529411764706
2022_United States_Sprint,OCO,3,C4,Exponential with Asymptote,0.026970760512632398,0.5665970721377125,1.1111111111111112,[1.01242320e+02 5.98482119e-03 1.12341900e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,NOR,1,C4,Linear (fallback),0.1974083601014352,0.07191555983948317,1.6923076923076923,"[np.float64(-0.03305494505494501), np.float64(104.7607912087912)]",35.523529411764706,29.28529411764706
2022_United States_Sprint,NOR,5,C3,Exponential with Asymptote,0.09541500763096837,0.4451069052252684,0.8571428571428571,[103.16014994   0.8715904  101.93530586],35.523529411764706,29.28529411764706
2022_United States_Sprint,HAM,1,C4,Exponential with Asymptote,0.10081415765877845,0.4944504165029415,0.9090909090909091,[1.02352461e+02 8.73761903e-03 1.14198700e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,HAM,2,C3,Exponential,0.07062274722734851,0.24863572788735122,1.5,[1.02743490e+02 1.33380736e-03],35.523529411764706,29.28529411764706
2022_United States_Sprint,HAM,4,C3,Exponential with Asymptote,0.30834347867271894,0.24581814530474533,0.5714285714285714,[1.00235874e+02 4.41551399e-03 1.12497000e+02],35.523529411764706,29.28529411764706
2022_United States_Sprint,MSC,1,C3,Exponential with Asymptote,0.3450774131512311,0.29705920230127525,0.875,[106.37083532   1.         104.84341617],35.523529411764706,29.28529411764706
2022_United States_Sprint,MSC,3,C3,Exponential with Asymptote,0.14997385662844953,0.17552758045482797,0.9090909090909091,[102.3790746    0.71468935 103.16385492],35.523529411764706,29.28529411764706
