Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2023_Australia_Sprint,VER,2,C4,Exponential,138.38750539281048,0.673517736237868,1.0,[119.91524771   0.16807421],30.13963963963964,17.449549549549552
2023_Australia_Sprint,VER,4,C3,Exponential with Asymptote,0.03506632946544907,0.8958295595398973,0.5454545454545454,[8.24630225e+01 3.25999543e-03 6.42736000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,GAS,2,C5,Exponential,104.9243100036651,0.6778707208147768,1.0,[116.24810263   0.14723803],30.13963963963964,17.449549549549552
2023_Australia_Sprint,GAS,4,C3,Exponential with Asymptote,0.03550955575204658,0.8460881441207737,0.8484848484848485,[8.28502947e+01 4.92060878e-02 8.08588364e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,PER,1,C3,Exponential,41.18593708472315,0.681978256369207,1.0,[1.14686007e+02 9.50828654e-02],30.13963963963964,17.449549549549552
2023_Australia_Sprint,PER,3,C3,Exponential with Asymptote,0.07460681726640404,0.8190962079717752,0.6666666666666666,[8.27278655e+01 3.48082741e-03 6.41880000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,ALO,2,C4,Exponential,123.03295334825773,0.6916106437928278,1.0,[119.33713393   0.16485051],30.13963963963964,17.449549549549552
2023_Australia_Sprint,ALO,4,C3,Exponential with Asymptote,0.03568058968607818,0.9401465738772569,0.5882352941176471,[8.31727355e+01 1.23338968e-02 7.55401564e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,STR,2,C4,Exponential,114.97339214242393,0.6828522563036069,1.0,[117.82461368   0.15597105],30.13963963963964,17.449549549549552
2023_Australia_Sprint,STR,4,C3,Exponential with Asymptote,0.043633976023397525,0.8430831137364688,0.875,[8.26851089e+01 2.88686165e-03 6.47472000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,SAR,1,C3,Exponential,39.67599607753166,0.680850004106059,1.0,[1.14667497e+02 9.24487083e-02],30.13963963963964,17.449549549549552
2023_Australia_Sprint,SAR,3,C4,Exponential with Asymptote,0.054682927183990974,0.28425546531468493,0.875,[8.37940292e+01 3.42956160e-03 9.33614000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,MAG,2,C4,Exponential,91.8796906729656,0.681741507284252,1.0,[114.96500506   0.13846496],30.13963963963964,17.449549549549552
2023_Australia_Sprint,DEV,2,C3,Exponential,93.5714814303129,0.6742652169799483,1.0,[114.79869243   0.13742206],30.13963963963964,17.449549549549552
2023_Australia_Sprint,DEV,4,C4,Exponential with Asymptote,0.05677126613891535,0.11913732865351612,0.6956521739130435,[8.43357064e+01 7.13847643e-04 6.69096000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,DEV,5,C4,Exponential with Asymptote,0.47220034927502696,0.9243671956940297,0.5714285714285714,[87.93971933  1.         80.83200129],30.13963963963964,17.449549549549552
2023_Australia_Sprint,TSU,2,C4,Exponential,97.34344099203116,0.6776446701152582,1.0,[115.5049054    0.14128627],30.13963963963964,17.449549549549552
2023_Australia_Sprint,TSU,4,C3,Exponential with Asymptote,0.0849525510530596,0.8010554336097566,0.7741935483870968,[8.40131810e+01 3.37879478e-03 6.54312000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,ZHO,1,C5,Exponential,83.83566265977569,0.743483221378011,1.2,[1.23138146e+02 1.11952173e-01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,ZHO,3,C3,Exponential with Asymptote,0.12436729294290343,0.6646059186329194,0.6451612903225806,[8.36430275e+01 2.92612692e-03 6.54552000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,HUL,2,C4,Exponential,100.72495459626423,0.6803569362283994,1.0,[115.79182681   0.14512243],30.13963963963964,17.449549549549552
2023_Australia_Sprint,HUL,4,C3,Exponential,0.06581837871767768,0.6748530189814296,0.7096774193548387,[8.27415438e+01 4.80925356e-04],30.13963963963964,17.449549549549552
2023_Australia_Sprint,OCO,1,C5,Exponential,71.17156065188139,0.8146751858970195,1.2,[1.27691372e+02 1.26277475e-01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,OCO,3,C3,Exponential with Asymptote,0.05040458694791935,0.920727417406106,0.8125,[85.11780662  0.13809153 81.39476865],30.13963963963964,17.449549549549552
2023_Australia_Sprint,NOR,2,C4,Exponential,95.07056251495816,0.6853043233148937,1.0,[115.62061814   0.14202739],30.13963963963964,17.449549549549552
2023_Australia_Sprint,NOR,4,C3,Exponential with Asymptote,0.034381653241052385,0.8431301926831577,1.0,[8.28412207e+01 1.08606649e-02 7.78452965e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,HAM,2,C4,Exponential,143.23568951040232,0.6717929128838578,1.0,[120.45908368   0.17015904],30.13963963963964,17.449549549549552
2023_Australia_Sprint,HAM,4,C3,Exponential with Asymptote,0.05145707669370779,0.9074939892466471,1.393939393939394,[8.31172651e+01 7.41655719e-03 7.16424389e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,SAI,2,C4,Exponential,129.96460044950916,0.681648845236777,1.0,[119.52095235   0.16570546],30.13963963963964,17.449549549549552
2023_Australia_Sprint,SAI,4,C3,Exponential with Asymptote,0.04300370004451532,0.8654130562178172,0.9696969696969697,[8.26495711e+01 3.11007109e-03 6.43736000e+01],30.13963963963964,17.449549549549552
2023_Australia_Sprint,RUS,2,C4,Exponential,149.82502797464366,0.665485168895851,1.0,[120.88474297   0.17146557],30.13963963963964,17.449549549549552
2023_Australia_Sprint,BOT,2,C3,Linear (fallback),0.05434005555555602,0.9263462880561095,1.3333333333333333,"[np.float64(-1.0124999999999957), np.float64(86.19116666666667)]",30.13963963963964,17.449549549549552
2023_Australia_Sprint,BOT,4,C3,Double Exponential,0.10725695695095112,0.8340681873188092,0.6060606060606061,[8.83724612e+01 1.00000000e+00 7.20074074e-04 4.73037682e-02],30.13963963963964,17.449549549549552
2023_Australia_Sprint,PIA,2,C4,Exponential,92.82345227916315,0.6804517450456345,1.0,[115.06610903   0.13872823],30.13963963963964,17.449549549549552
2023_Australia_Sprint,PIA,4,C3,Exponential with Asymptote,0.0324857344223879,0.9355808927899965,0.8125,[8.41595599e+01 4.41472530e-02 8.07616734e+01],30.13963963963964,17.449549549549552
