Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2023_Canada_Sprint,VER,1,C4,Exponential with Asymptote,0.026890764674920565,0.6528835447092323,0.6666666666666666,[78.06949107  1.         77.42973941],30.593209876543206,18.530246913580246
2023_Canada_Sprint,VER,2,C4,Linear (fallback),0.00011250000000007956,0.9870699563251772,1.3333333333333333,"[np.float64(-0.11350000000000193), np.float64(77.4875)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,VER,5,C3,Exponential with Asymptote,0.013827520276221117,0.7058245122227821,0.9565217391304348,[7.65750665e+01 3.18952457e-03 8.51400000e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,VER,6,C3,Exponential with Asymptote,0.026403241574483153,0.21215071936825558,0.8888888888888888,[76.5703246   0.50611799 75.94154149],30.593209876543206,18.530246913580246
2023_Canada_Sprint,GAS,1,C5,Exponential with Asymptote,0.08339966474043231,0.33611091515179525,1.3333333333333333,[79.25112504  1.         78.66659709],30.593209876543206,18.530246913580246
2023_Canada_Sprint,GAS,6,C3,Exponential with Asymptote,0.11823812146285861,0.9986593989239891,0.875,[117.26820615   1.          78.34353403],30.593209876543206,18.530246913580246
2023_Canada_Sprint,GAS,7,C3,Exponential with Asymptote,0.031201033135817204,0.6785888155818002,0.8888888888888888,[77.95540016  0.16199836 76.78134547],30.593209876543206,18.530246913580246
2023_Canada_Sprint,PER,5,C3,Exponential with Asymptote,0.03930303968191471,0.2671026464988506,0.8421052631578947,[7.75092304e+01 2.52584893e-03 8.63170000e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ALO,1,C4,Exponential with Asymptote,0.13263824966704582,0.3355445328530492,0.6666666666666666,[78.37341882  1.         77.63720134],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ALO,2,C4,Linear (fallback),0.0141680555555553,0.49211561900059675,1.3333333333333333,"[np.float64(-0.14350000000000307), np.float64(77.76416666666667)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,ALO,5,C3,Exponential with Asymptote,0.017393934940764806,0.45857721696060716,0.9523809523809523,[7.67328737e+01 6.21997699e-02 7.73058496e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,LEC,1,C4,Exponential with Asymptote,0.15720601679681467,0.3496660656756364,0.6666666666666666,[79.56084884  1.         78.73381609],30.593209876543206,18.530246913580246
2023_Canada_Sprint,LEC,2,C4,Linear (fallback),0.1556819999999959,0.18469187181198166,1.3333333333333333,"[np.float64(-0.22999999999999687), np.float64(78.993)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,LEC,5,C4,Exponential with Asymptote,0.0360116263228193,0.4172381202124845,0.6666666666666666,[7.70978978e+01 3.14016109e-03 8.58373946e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,STR,1,C4,Exponential with Asymptote,0.09038847712304376,0.48286564673402776,1.3333333333333333,[79.42439271  1.         78.59797886],30.593209876543206,18.530246913580246
2023_Canada_Sprint,STR,5,C3,Exponential with Asymptote,0.10136634028973744,0.9994657664312726,0.7272727272727273,[126.58578022   1.          78.36353123],30.593209876543206,18.530246913580246
2023_Canada_Sprint,STR,6,C3,Exponential with Asymptote,0.048767801599245084,0.1571668035217063,0.55,[77.42749199  0.08550985 77.03837765],30.593209876543206,18.530246913580246
2023_Canada_Sprint,MAG,1,C3,Exponential with Asymptote,0.20400320254282475,0.6005253090472608,0.6666666666666666,[80.13099716  1.         78.555676  ],30.593209876543206,18.530246913580246
2023_Canada_Sprint,MAG,2,C3,Linear (fallback),0.04004449999999901,0.09520312711829704,1.3333333333333333,"[np.float64(-0.07950000000000301), np.float64(78.9015)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,MAG,5,C3,Exponential with Asymptote,0.11430254391041862,0.33515042956507557,0.9411764705882353,[79.68718442  1.         78.70526553],30.593209876543206,18.530246913580246
2023_Canada_Sprint,MAG,6,C3,Exponential with Asymptote,0.07750579074114551,0.42161733920051747,0.7142857142857143,[80.01614895  1.         77.57663736],30.593209876543206,18.530246913580246
2023_Canada_Sprint,MAG,7,C4,Exponential with Asymptote,0.022841148454399107,0.3962255342847225,0.5714285714285714,[7.70324649e+01 1.93816123e-03 6.11368000e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,DEV,5,C3,Exponential with Asymptote,0.09786316905988213,0.9987646442315361,0.8888888888888888,[117.31058532   1.          78.34957461],30.593209876543206,18.530246913580246
2023_Canada_Sprint,DEV,6,C3,Linear (fallback),0.08368327660910387,0.0552885622511986,0.7142857142857143,"[np.float64(-0.017360439560439343), np.float64(78.69291428571427)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,DEV,7,C3,Exponential with Asymptote,0.019176228567925113,0.20037084182766873,0.5,[76.18057168  1.         76.93421731],30.593209876543206,18.530246913580246
2023_Canada_Sprint,TSU,1,C4,Exponential with Asymptote,0.39477099725935083,0.8645460216469467,0.8,[81.99278171  1.         77.63253306],30.593209876543206,18.530246913580246
2023_Canada_Sprint,TSU,2,C3,Exponential,0.11614346708261784,0.6914860580973378,1.0,[7.91449703e+01 5.82604787e-03],30.593209876543206,18.530246913580246
2023_Canada_Sprint,TSU,5,C3,Exponential with Asymptote,0.053086461493689285,0.2104324752491652,1.25,[79.85684489  1.         78.56358454],30.593209876543206,18.530246913580246
2023_Canada_Sprint,TSU,6,C3,Exponential with Asymptote,0.05548091543325432,0.2608129041696352,0.8571428571428571,[7.74308206e+01 4.22090676e-02 7.67776469e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ALB,1,C4,Exponential with Asymptote,0.10532091284525975,0.3983584511124695,0.6666666666666666,[79.47212673  1.         78.72092773],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ALB,2,C4,Linear (fallback),0.11745088888889012,0.08146450146331907,1.3333333333333333,"[np.float64(0.125), np.float64(78.70933333333333)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,ALB,5,C3,Exponential with Asymptote,0.021635643103685907,0.9380927454782633,0.8979591836734694,[7.92960509e+01 3.36134227e-02 7.66174151e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ZHO,1,C4,Exponential with Asymptote,0.16608657924022885,0.5534855694010252,0.8,[80.28267383  1.         79.03631489],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ZHO,2,C4,Exponential,4.3327074759040825,0.6172746675894552,1.0,[8.42451955e+01 2.95997739e-02],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ZHO,4,C3,Exponential with Asymptote,0.12828239038132178,0.9990696133781329,1.0,[127.11538119   1.          78.43690712],30.593209876543206,18.530246913580246
2023_Canada_Sprint,ZHO,5,C3,Double Exponential,0.12895141716356306,0.2180828575524797,0.8125,[7.84341908e+01 2.36292091e-01 3.30421466e-25 1.23359406e-02],30.593209876543206,18.530246913580246
2023_Canada_Sprint,HUL,1,C4,Exponential with Asymptote,0.48008787413030657,0.11499409649903247,0.6666666666666666,[7.87574474e+01 1.49121671e-02 8.86534000e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,HUL,5,C3,Exponential with Asymptote,0.0767581031087952,0.9994578402664902,1.0666666666666667,[126.35168695   1.          78.4568589 ],30.593209876543206,18.530246913580246
2023_Canada_Sprint,OCO,1,C4,Exponential with Asymptote,0.011716913248418876,0.8904472486701418,0.6666666666666666,[79.24847977  1.         78.37061291],30.593209876543206,18.530246913580246
2023_Canada_Sprint,OCO,2,C4,Linear (fallback),0.012012500000001645,0.608925664677106,1.3333333333333333,"[np.float64(0.16749999999999687), np.float64(78.07750000000001)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,OCO,5,C3,Exponential with Asymptote,0.016893928104065536,0.688789772327269,0.8888888888888888,[80.15154128  1.         77.94074259],30.593209876543206,18.530246913580246
2023_Canada_Sprint,NOR,1,C4,Exponential with Asymptote,0.2551513149831321,0.29186885792507156,0.6666666666666666,[79.66803933  1.         78.74554112],30.593209876543206,18.530246913580246
2023_Canada_Sprint,NOR,6,C3,Exponential with Asymptote,0.058944966217053196,0.11748043757434146,0.9090909090909091,[77.51711498  0.26679924 77.03067953],30.593209876543206,18.530246913580246
2023_Canada_Sprint,HAM,1,C4,Exponential with Asymptote,0.027361222890897343,0.6279133982087387,0.6666666666666666,[78.30182551  1.         77.6905666 ],30.593209876543206,18.530246913580246
2023_Canada_Sprint,HAM,2,C4,Linear (fallback),0.0007220000000000547,0.5714285714285103,1.3333333333333333,"[np.float64(0.0379999999999967), np.float64(77.597)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,HAM,5,C3,Exponential with Asymptote,0.0920848782185839,0.11920415191532885,0.8695652173913043,[7.71421293e+01 2.01703420e-03 8.56624923e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,HAM,6,C3,Exponential with Asymptote,0.0900246726787397,0.3433995694702914,0.7142857142857143,[7.57208040e+01 3.04112679e-03 8.48859000e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,SAI,5,C4,Exponential with Asymptote,0.04768766535771746,0.35019298288229184,0.9,[76.94673047  0.15979987 77.62439079],30.593209876543206,18.530246913580246
2023_Canada_Sprint,SAI,6,C4,Exponential with Asymptote,0.07544341177814401,0.28024986957538145,0.6451612903225806,[77.37063924  0.38955337 76.23461342],30.593209876543206,18.530246913580246
2023_Canada_Sprint,RUS,1,C4,Exponential with Asymptote,0.005326424151416878,0.9747514340299163,0.6666666666666666,[78.85085485  1.         77.56089543],30.593209876543206,18.530246913580246
2023_Canada_Sprint,BOT,1,C3,Exponential with Asymptote,0.4646623137322308,0.24039980672151684,1.3333333333333333,[80.23446082  1.         79.14359123],30.593209876543206,18.530246913580246
2023_Canada_Sprint,BOT,5,C3,Exponential with Asymptote,0.04966971478583416,0.5259035005155408,1.0,[79.44273702  0.45066274 78.05138855],30.593209876543206,18.530246913580246
2023_Canada_Sprint,BOT,6,C3,Exponential with Asymptote,0.02339555569278274,0.23910135550510758,0.9032258064516129,[7.70332046e+01 1.06687829e-03 8.54689000e+01],30.593209876543206,18.530246913580246
2023_Canada_Sprint,PIA,1,C4,Exponential with Asymptote,0.13617362960669732,0.47284730743365433,1.3333333333333333,[79.58887376  1.         78.59468615],30.593209876543206,18.530246913580246
2023_Canada_Sprint,PIA,2,C4,Linear (fallback),0.0006360555555552095,0.45985091526726296,1.3333333333333333,"[np.float64(-0.028500000000001077), np.float64(78.50383333333333)]",30.593209876543206,18.530246913580246
2023_Canada_Sprint,PIA,5,C3,Exponential with Asymptote,0.0277814154611852,0.6460270456781196,0.8888888888888888,[80.83573975  1.         78.26901312],30.593209876543206,18.530246913580246
2023_Canada_Sprint,PIA,6,C3,Exponential with Asymptote,0.03488989281589282,0.28498543076260785,0.5625,[77.45327844  0.17574377 76.91464628],30.593209876543206,18.530246913580246
