Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2023_Monaco_Sprint,VER,1,C4,Exponential with Asymptote,0.13083402165998673,0.6131470304650093,0.7391304347826086,[79.54613236  0.38883339 77.13485252],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,VER,5,C4,Exponential,0.7158098884308286,0.9838000486914671,0.8695652173913043,[1.05858287e+02 1.05224231e-02],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,GAS,1,C3,Double Exponential,0.08524235160347136,0.8745619319526274,1.0232558139534884,[8.07248564e+01 4.01991665e-01 4.99092941e-04 2.45938372e-02],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,GAS,2,C3,Exponential,1.5885757635462896,0.4129037306035591,1.0,[7.85280268e+01 1.23401848e-02],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,GAS,5,C4,Exponential,2.6287303969862315,0.9372728773408777,0.4166666666666667,[1.06182836e+02 9.45065867e-03],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,PER,1,C4,Exponential with Asymptote,1.5332528367680007,0.28418969215147905,0.5,[76.977358    0.11647419 79.85816844],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,PER,2,C3,Exponential with Asymptote,0.444761448111457,0.35700228900118824,0.5333333333333333,[79.07337776  1.         77.13876602],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,PER,5,C4,Linear (fallback),2.343612500000003,0.34525002416605866,1.3333333333333333,"[np.float64(1.3615000000000066), np.float64(101.24949999999998)]",39.25568181818182,25.06590909090909
2023_Monaco_Sprint,PER,6,C2,Exponential with Asymptote,0.2696245126762941,0.9695296802123771,1.2727272727272727,[105.77654798   0.20000502  94.45516132],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,PER,7,C1,Exponential,2.206998891480116,0.8805525085740309,1.0,[9.52200462e+01 4.04958610e-02],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,ALO,1,C3,Exponential with Asymptote,0.09602671290650823,0.6999738799194333,0.8260869565217391,[79.73975068  0.35121338 77.30362333],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,ALO,3,C3,Exponential,1.8325948157838725,0.9566518883247479,1.0434782608695652,[1.06819950e+02 1.01084807e-02],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,LEC,1,C3,Double Exponential,0.03986326237777964,0.9301853872858369,0.7894736842105263,[8.06044887e+01 4.67549867e-01 5.30961845e-04 2.26788653e-02],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,LEC,2,C3,Exponential with Asymptote,0.5160928602262677,0.6360232567114223,1.1428571428571428,[79.02117102  1.         76.21144816],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,LEC,5,C4,Exponential,1.5900438489155504,0.9598868409093418,0.43478260869565216,[1.05756849e+02 9.75192985e-03],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,STR,1,C3,Exponential,0.6519740191951003,0.14689606363810703,0.4166666666666667,[7.98780462e+01 2.96124852e-04],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,SAR,1,C4,Exponential with Asymptote,0.33654066315854136,0.458853506766431,0.7058823529411765,[7.93704652e+01 1.00158864e-02 9.05608000e+01],39.25568181818182,25.06590909090909
2023_Monaco_Sprint,SAR,3,C3,Exponential with Asymptote,1.7346389921210086,0.3240192791955976,0.4444444444444444,[7.73922344e+01 9.14989492e-03 9.14320000e+01],39.25568181818182,25.06590909090909
