Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
2023_Spain_Sprint,VER,1,C4,Exponential with Asymptote,0.01162283256609807,0.6608635289607663,1.0434782608695652,[8.04994167e+01 1.31757244e-03 6.38952000e+01],33.838961038961045,22.674025974025977
2023_Spain_Sprint,VER,2,C3,Exponential with Asymptote,0.03990398279870421,0.14844906588589513,1.0,[78.73045385  0.46097914 79.08147506],33.838961038961045,22.674025974025977
2023_Spain_Sprint,VER,3,C5,Exponential with Asymptote,0.09906370102031137,0.2609387664792756,0.8333333333333334,[77.37887422  0.13030267 78.11977186],33.838961038961045,22.674025974025977
2023_Spain_Sprint,HAM,1,C5,Exponential with Asymptote,0.03387923149908262,0.6276396994375126,0.9523809523809523,[81.624759    0.79370547 80.57984056],33.838961038961045,22.674025974025977
2023_Spain_Sprint,HAM,2,C4,Exponential with Asymptote,0.06418213737391511,0.1399320750277785,0.9166666666666666,[7.94548403e+01 9.12919524e-04 6.31416000e+01],33.838961038961045,22.674025974025977
2023_Spain_Sprint,HAM,3,C5,Exponential with Asymptote,0.5825087424336847,0.15504313331627262,0.8,[7.77144185e+01 7.34156058e-03 8.83410000e+01],33.838961038961045,22.674025974025977
2023_Spain_Sprint,RUS,1,C5,Exponential with Asymptote,0.05139630155430569,0.6042534624931482,0.6956521739130435,[81.84480468  0.31350531 80.764772  ],33.838961038961045,22.674025974025977
2023_Spain_Sprint,RUS,2,C4,Exponential with Asymptote,0.0600679431391955,0.5556976998411709,0.5555555555555556,[78.56459957  0.35512008 79.56658386],33.838961038961045,22.674025974025977
2023_Spain_Sprint,RUS,3,C5,Exponential with Asymptote,0.07707631957556023,0.2840229393398762,0.5,[7.81180080e+01 3.47631648e-03 8.70793000e+01],33.838961038961045,22.674025974025977
2023_Spain_Sprint,PER,1,C4,Exponential with Asymptote,0.1172350951904647,0.35775659235293145,0.8,[8.16007749e+01 2.21522096e-02 7.95349706e+01],33.838961038961045,22.674025974025977
2023_Spain_Sprint,PER,2,C3,Exponential with Asymptote,0.06030252565044607,0.2357273300800009,0.8,[78.63428779  0.51640595 79.2383061 ],33.838961038961045,22.674025974025977
2023_Spain_Sprint,PER,3,C5,Exponential with Asymptote,0.2569816981557808,0.5451781733387286,0.6666666666666666,[7.70021991e+01 1.26345434e-02 8.80693000e+01],33.838961038961045,22.674025974025977
