Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Abu Dhabi,VER,1,C4,Exponential with Asymptote,0.03834607067172332,0.8218863576373258,0.4444444444444444,[9.01495948e+01 7.89062243e-03 1.01070200e+02],34.310322580645156,28.575483870967748
Abu Dhabi,VER,2,C3,Exponential with Asymptote,0.0317776852069149,0.7516580822317104,0.7777777777777778,[90.9370304   0.11348688 89.78255418],34.310322580645156,28.575483870967748
Abu Dhabi,LEC,1,C4,Exponential with Asymptote,0.060289444208336984,0.515793632539995,1.0526315789473684,[9.07662789e+01 4.65497608e-03 1.01080100e+02],34.310322580645156,28.575483870967748
Abu Dhabi,LEC,2,C3,Linear (fallback),0.050176739193994326,0.07061342226272027,0.6285714285714286,"[np.float64(-0.005862252932432645), np.float64(90.15769780858611)]",34.310322580645156,28.575483870967748
Abu Dhabi,PER,1,C4,Exponential with Asymptote,0.05020298026240382,0.7428226422328338,0.6153846153846154,[9.03567363e+01 9.90157838e-03 1.01189000e+02],34.310322580645156,28.575483870967748
Abu Dhabi,PER,2,C3,Exponential with Asymptote,0.2870510356712585,0.11642476815273672,0.47058823529411764,[90.02335082  0.43923721 90.74182499],34.310322580645156,28.575483870967748
Abu Dhabi,PER,3,C3,Linear (fallback),0.03435417403328585,0.08050541588951743,0.5217391304347826,"[np.float64(0.007764017275344511), np.float64(89.17994658281557)]",34.310322580645156,28.575483870967748
Abu Dhabi,SAI,1,C4,Exponential with Asymptote,0.04678679278544939,0.22198078566353352,0.8571428571428571,[9.10025828e+01 2.79225612e-03 1.00687400e+02],34.310322580645156,28.575483870967748
Abu Dhabi,SAI,2,C3,Exponential with Asymptote,0.03637907780563833,0.5511210113897536,1.3,[91.21844131  0.4267175  90.39820307],34.310322580645156,28.575483870967748
Abu Dhabi,SAI,3,C3,Exponential with Asymptote,0.07012159117731992,0.4076396766760364,0.6666666666666666,[8.90523424e+01 4.35689454e-03 9.90528000e+01],34.310322580645156,28.575483870967748
