Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Austria,VER,1,C4,Exponential with Asymptote,0.06980066813026112,0.7505406797285958,0.7272727272727273,[6.99617352e+01 1.70799533e-02 7.91032000e+01],30.74671052631579,20.25592105263158
Austria,VER,2,C3,Exponential with Asymptote,0.08910472916254261,0.6041835734160266,0.38095238095238093,[6.98765052e+01 7.25717765e-03 7.87996000e+01],30.74671052631579,20.25592105263158
Austria,VER,3,C3,Exponential with Asymptote,0.03289997345671101,0.563032076255388,0.631578947368421,[69.33567475  0.32261236 70.08982467],30.74671052631579,20.25592105263158
Austria,VER,5,C4,Linear (fallback),0.24762855380730417,0.06859103159776725,0.5,"[np.float64(0.03911888111888093), np.float64(68.1996794871795)]",30.74671052631579,20.25592105263158
Austria,GAS,1,C4,Exponential with Asymptote,0.06374214291674897,0.7096834753702734,0.8,[73.08330802  1.         71.77207548],30.74671052631579,20.25592105263158
Austria,GAS,2,C3,Exponential with Asymptote,0.04391310184097159,0.7557274386797495,0.8333333333333334,[70.90043227  0.08969606 72.29993907],30.74671052631579,20.25592105263158
Austria,GAS,3,None,Exponential with Asymptote,0.024279246628599226,0.11753276094735765,0.6666666666666666,[70.62401645  0.49628958 70.82905308],30.74671052631579,20.25592105263158
Austria,PER,1,C4,Exponential with Asymptote,0.36860111071288787,0.42758914971188533,0.5,[7.18284802e+01 3.72420249e-02 7.52635677e+01],30.74671052631579,20.25592105263158
Austria,ALO,1,C3,Double Exponential,0.13374150461414444,0.2978099077499542,0.75,[7.33266191e+01 1.00000000e+00 7.33695562e-16 1.55117846e-02],30.74671052631579,20.25592105263158
Austria,ALO,2,C3,Linear (fallback),0.19614332897411788,0.08017277323396133,0.7142857142857143,"[np.float64(-0.01618664477285163), np.float64(71.13909113300494)]",30.74671052631579,20.25592105263158
Austria,ALO,4,C4,Exponential with Asymptote,0.11980415600113234,0.11741781940166451,0.5454545454545454,[68.91364496  0.20260937 69.37755794],30.74671052631579,20.25592105263158
Austria,LEC,1,C4,Exponential with Asymptote,0.06524313522918097,0.42969489056170074,0.6956521739130435,[7.02619496e+01 3.94832759e-03 7.86005000e+01],30.74671052631579,20.25592105263158
Austria,LEC,2,C3,Exponential with Asymptote,0.06586036819603466,0.6810843603972334,1.0,[69.2848207   0.0867479  70.78455684],30.74671052631579,20.25592105263158
Austria,LEC,3,C3,Exponential,0.024108263393951827,0.25486646168460003,0.5714285714285714,[6.91522118e+01 6.57514983e-04],30.74671052631579,20.25592105263158
Austria,LEC,5,C4,Exponential with Asymptote,0.07684685604681575,0.7005139581318975,0.7272727272727273,[67.45620157  0.15737183 69.4464139 ],30.74671052631579,20.25592105263158
Austria,STR,1,C4,Exponential with Asymptote,0.051827991259562244,0.36042289949776896,0.9230769230769231,[71.56487519  0.11144465 72.27112374],30.74671052631579,20.25592105263158
Austria,STR,2,C3,Exponential with Asymptote,0.17893995051530817,0.5234808269618318,0.7058823529411765,[7.10960851e+01 2.50604248e-02 7.54827988e+01],30.74671052631579,20.25592105263158
Austria,STR,3,C4,Exponential with Asymptote,0.009694120653779748,0.6224208717048494,0.8571428571428571,[70.50526552  0.51774532 70.11131487],30.74671052631579,20.25592105263158
Austria,STR,4,C4,Exponential with Asymptote,0.015287604528583014,0.5233493041224679,1.3333333333333333,[7.00225661e+01 5.04992730e-03 7.76941000e+01],30.74671052631579,20.25592105263158
Austria,MAG,1,C4,Exponential with Asymptote,0.08108200179420867,0.2896468651904902,0.6153846153846154,[7.13705927e+01 6.13736393e-03 7.95145999e+01],30.74671052631579,20.25592105263158
Austria,MAG,2,C3,Exponential with Asymptote,0.1667669139502521,0.35641541944296573,0.8695652173913043,[70.39508402  0.48008978 71.66297593],30.74671052631579,20.25592105263158
Austria,MAG,3,None,Exponential,0.021957534710567824,0.6040867697161547,1.0,[7.07747175e+01 7.01438001e-04],30.74671052631579,20.25592105263158
Austria,MAG,5,None,Exponential with Asymptote,0.1602934206358927,0.33286384849777906,0.9090909090909091,[69.04164205  0.66566883 70.89030156],30.74671052631579,20.25592105263158
Austria,TSU,1,C3,Exponential with Asymptote,0.07052114604235857,0.1924732170035386,0.6086956521739131,[71.77456114  0.18750053 72.341594  ],30.74671052631579,20.25592105263158
Austria,TSU,2,C4,Exponential with Asymptote,0.5954392154958837,0.2523462884247555,1.2222222222222223,[70.70542473  0.18809051 72.3004129 ],30.74671052631579,20.25592105263158
Austria,TSU,3,C3,Exponential with Asymptote,0.22047810468017562,0.11154300965351438,0.6666666666666666,[7.04810060e+01 7.51541698e-03 7.93033698e+01],30.74671052631579,20.25592105263158
Austria,TSU,4,C3,Exponential with Asymptote,0.06522246529855326,0.30457570473903084,0.9090909090909091,[70.16498869  0.12782511 70.96813599],30.74671052631579,20.25592105263158
Austria,ALB,1,C4,Double Exponential,0.03605455052308784,0.864333201168364,1.1111111111111112,[7.32825210e+01 1.00000000e+00 2.29755674e-18 2.09329464e-02],30.74671052631579,20.25592105263158
Austria,ALB,2,C3,Exponential with Asymptote,0.061495747129936294,0.6915164373294049,0.7407407407407407,[70.90847501  0.0839335  72.3070841 ],30.74671052631579,20.25592105263158
Austria,ALB,3,C3,Exponential with Asymptote,0.10070294625647393,0.11706308851647962,1.0769230769230769,[70.33947654  0.76998914 70.75476568],30.74671052631579,20.25592105263158
Austria,ALB,5,None,Exponential with Asymptote,0.3798380329108592,0.2412083058977591,0.6666666666666666,[71.94782883  1.         70.71151619],30.74671052631579,20.25592105263158
Austria,ZHO,1,C3,Exponential with Asymptote,0.06496254496984177,0.2794955560714989,0.4,[7.19237962e+01 3.06967567e-03 8.05211000e+01],30.74671052631579,20.25592105263158
Austria,ZHO,3,C3,Exponential with Asymptote,0.25889047386068675,0.4558577661576362,1.1,[7.06055058e+01 4.60379089e-02 7.32474680e+01],30.74671052631579,20.25592105263158
Austria,ZHO,4,C4,Linear (fallback),0.0860433166666664,0.07118098534789286,1.1111111111111112,"[np.float64(0.031450000000000956), np.float64(69.97353333333334)]",30.74671052631579,20.25592105263158
Austria,ZHO,5,C4,Exponential with Asymptote,0.039612383041720524,0.38843117498415314,0.5,[69.79309049  0.10181674 70.62654549],30.74671052631579,20.25592105263158
Austria,RIC,1,C4,Exponential with Asymptote,0.14036543547718078,0.20315747988396893,0.8,[72.47138577  1.         71.84299447],30.74671052631579,20.25592105263158
Austria,RIC,2,C3,Exponential with Asymptote,0.1428871393520876,0.33628263788478063,1.0,[70.94863055  0.13681339 71.94126415],30.74671052631579,20.25592105263158
Austria,RIC,3,None,Double Exponential,0.019215163143685515,0.7980060943121594,0.4,[7.12238383e+01 1.00000000e+00 1.53230267e-19 1.28497489e-02],30.74671052631579,20.25592105263158
Austria,RIC,5,None,Exponential with Asymptote,0.4115954467802625,0.559677222500302,0.8333333333333334,[73.09934195  1.         70.52590958],30.74671052631579,20.25592105263158
Austria,OCO,1,C4,Exponential with Asymptote,0.02298121724215335,0.2642335854817841,0.5714285714285714,[7.14156078e+01 2.98691193e-03 7.90834000e+01],30.74671052631579,20.25592105263158
Austria,OCO,2,C3,Exponential with Asymptote,0.07426439759940179,0.3619877085972729,0.7692307692307693,[70.6748299   0.38866489 71.53525783],30.74671052631579,20.25592105263158
Austria,OCO,3,None,Exponential with Asymptote,0.043406694559805045,0.5276759798185405,1.0909090909090908,[7.04705769e+01 1.32568520e-02 6.48615607e+01],30.74671052631579,20.25592105263158
Austria,OCO,5,None,Exponential with Asymptote,0.06911073997388173,0.6007512849988822,1.5,[6.9854036e+01 1.2136732e-02 7.8166000e+01],30.74671052631579,20.25592105263158
Austria,NOR,1,C4,Exponential with Asymptote,0.06097459834805232,0.6638641701966421,0.6666666666666666,[72.79515281  1.         71.56048272],30.74671052631579,20.25592105263158
Austria,NOR,2,C3,Exponential with Asymptote,0.12770628903869297,0.4568411155133286,0.5925925925925926,[70.40347314  0.28974958 71.71390343],30.74671052631579,20.25592105263158
Austria,NOR,3,None,Exponential with Asymptote,0.027615925842639746,0.45014392195007125,1.0,[70.4612243  0.0876719 69.6849696],30.74671052631579,20.25592105263158
Austria,NOR,5,None,Exponential with Asymptote,0.7731696591555467,0.5166094441443501,0.5,[73.44281322  1.         70.20863661],30.74671052631579,20.25592105263158
Austria,HAM,1,C4,Exponential with Asymptote,0.1468316510684648,0.23461562461294594,0.7692307692307693,[7.17617518e+01 6.60528995e-03 6.71153798e+01],30.74671052631579,20.25592105263158
Austria,HAM,2,C3,Exponential with Asymptote,0.06105614145788042,0.31512481335481723,0.8571428571428571,[7.00733707e+01 3.43762984e-02 7.11895426e+01],30.74671052631579,20.25592105263158
Austria,HAM,3,C4,Exponential with Asymptote,2.1392832012171223,0.22628834500763795,0.8,[6.96362385e+01 5.06385832e-02 8.13274000e+01],30.74671052631579,20.25592105263158
Austria,HAM,4,C4,Exponential with Asymptote,0.06875355895174526,0.23370100707751007,1.0,[69.11355364  0.09423751 69.90149424],30.74671052631579,20.25592105263158
Austria,MSC,1,C4,Exponential with Asymptote,0.08172012621816191,0.7275072972272987,0.7692307692307693,[7.08004939e+01 1.46840927e-02 8.01955000e+01],30.74671052631579,20.25592105263158
Austria,MSC,2,C3,Exponential with Asymptote,0.09096892598957723,0.40317479946406254,0.5833333333333334,[70.41008281  0.39489108 71.41700097],30.74671052631579,20.25592105263158
Austria,MSC,3,None,Exponential with Asymptote,0.1795633916086935,0.7285964837160221,0.6666666666666666,[72.47546532  0.68550435 70.07262093],30.74671052631579,20.25592105263158
Austria,MSC,5,None,Exponential with Asymptote,0.07554341317438337,0.6007291380862634,0.5454545454545454,[69.60515886  0.09989556 71.47417134],30.74671052631579,20.25592105263158
Austria,VET,1,C3,Exponential with Asymptote,0.09114356282973005,0.6904642635809004,0.5555555555555556,[74.0793146   1.         72.18282181],30.74671052631579,20.25592105263158
Austria,VET,2,C4,Exponential with Asymptote,0.043672689133184166,0.5172603717594753,0.8235294117647058,[70.50053154  0.8647597  71.37511171],30.74671052631579,20.25592105263158
Austria,VET,3,C4,Exponential with Asymptote,1.6355127488172143,0.28871024440220683,0.8,[7.14709035e+01 5.24908199e-02 8.31380000e+01],30.74671052631579,20.25592105263158
Austria,SAI,1,C4,Exponential with Asymptote,0.034415108772728756,0.5100493511537945,0.48,[7.04414879e+01 3.89885706e-02 7.14831982e+01],30.74671052631579,20.25592105263158
Austria,SAI,2,C3,Exponential with Asymptote,0.08276142120778021,0.5575785278138748,0.8571428571428571,[69.39432444  0.12363787 70.59318553],30.74671052631579,20.25592105263158
Austria,LAT,1,C4,Double Exponential,0.08917578276123313,0.6510319004280453,0.4,[7.34623530e+01 1.00000000e+00 4.48777674e-21 1.84432230e-02],30.74671052631579,20.25592105263158
Austria,LAT,2,C3,Exponential with Asymptote,0.11565045958363415,0.7693961903841043,1.2,[7.09451706e+01 4.68652289e-02 7.43785637e+01],30.74671052631579,20.25592105263158
Austria,LAT,3,None,Exponential with Asymptote,0.27110657949579947,0.352560244732536,0.9090909090909091,[71.45914736  0.69438454 72.75314043],30.74671052631579,20.25592105263158
Austria,RUS,1,C4,Exponential with Asymptote,0.7176636662823844,0.3082073651446373,0.8,[7.09376230e+01 1.83422264e-02 8.23383000e+01],30.74671052631579,20.25592105263158
Austria,RUS,2,C3,Exponential with Asymptote,0.05597722228681524,0.7156662772900225,0.8888888888888888,[70.16777977  0.13838431 71.53983568],30.74671052631579,20.25592105263158
Austria,RUS,3,None,Exponential with Asymptote,0.04351892481636876,0.6342781400013202,1.0666666666666667,[7.06331697e+01 4.35115931e-03 5.55992000e+01],30.74671052631579,20.25592105263158
Austria,RUS,5,None,Exponential with Asymptote,0.029539499139110897,0.4902096806107903,0.5,[68.86624186  0.43307918 69.74119856],30.74671052631579,20.25592105263158
Austria,BOT,1,C4,Exponential with Asymptote,1.2759265088981298,0.12062692153524224,0.8,[7.24350545e+01 2.92132800e-02 8.27200000e+01],30.74671052631579,20.25592105263158
Austria,BOT,2,C3,Exponential with Asymptote,0.08503342375321464,0.6782141847510879,1.0344827586206897,[7.07746687e+01 4.06572140e-02 7.27752058e+01],30.74671052631579,20.25592105263158
