Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Brazil,VER,5,C4,Exponential with Asymptote,0.020079854858493625,0.9339659070380895,0.9230769230769231,[7.57000187e+01 5.73628350e-02 7.89564946e+01],46.04910179640718,23.010778443113775
Brazil,VER,6,C5,Exponential with Asymptote,0.02755225851061327,0.15336987523110934,0.9523809523809523,[75.99557509  0.32216927 76.25999839],46.04910179640718,23.010778443113775
Brazil,VER,9,C5,Linear (fallback),9.92202755555556,0.7947775454339255,1.3333333333333333,"[np.float64(-7.592000000000006), np.float64(104.03233333333333)]",46.04910179640718,23.010778443113775
Brazil,VER,10,C5,Exponential with Asymptote,0.12081164243797153,0.9990366704618333,1.0,[115.0514709    1.          74.31244511],46.04910179640718,23.010778443113775
Brazil,GAS,3,C5,Exponential with Asymptote,1.366590720865904,0.9892614431072109,0.5714285714285714,[121.50117624   1.          77.72553657],46.04910179640718,23.010778443113775
Brazil,GAS,4,C4,Exponential with Asymptote,0.08438798217584029,0.4438140551487251,0.5714285714285714,[76.91834296  0.21362045 77.832815  ],46.04910179640718,23.010778443113775
Brazil,GAS,5,C5,Exponential with Asymptote,0.051973077573758374,0.36333177763740576,0.8,[7.64457552e+01 6.50770965e-02 7.73820663e+01],46.04910179640718,23.010778443113775
Brazil,GAS,7,C4,Linear (fallback),19.242740055555533,0.7950153640952208,1.3333333333333333,"[np.float64(-10.5805), np.float64(105.39983333333332)]",46.04910179640718,23.010778443113775
Brazil,GAS,9,C4,Exponential with Asymptote,0.204489832613567,0.7435249445118775,1.0,[81.00519931  0.70007168 75.63006059],46.04910179640718,23.010778443113775
Brazil,PER,4,C5,Exponential with Asymptote,0.020956682613673554,0.7686592146357805,0.8,[7.59956051e+01 7.33285986e-03 8.47935000e+01],46.04910179640718,23.010778443113775
Brazil,PER,5,C4,Exponential with Asymptote,0.036038374309016574,0.5727381744097967,0.47619047619047616,[7.59937887e+01 4.18576172e-03 8.48793000e+01],46.04910179640718,23.010778443113775
Brazil,PER,6,C4,Linear (fallback),0.009238049999999134,0.3465108053620406,1.0,"[np.float64(0.06259999999999906), np.float64(75.19309999999999)]",46.04910179640718,23.010778443113775
Brazil,PER,9,C4,Exponential with Asymptote,0.5757206247825949,0.9952826620789943,0.6153846153846154,[116.61502807   1.          75.03508947],46.04910179640718,23.010778443113775
Brazil,ALO,1,C4,Exponential,88.35854098611804,0.7313827146037251,0.46153846153846156,[1.20104708e+02 4.56133269e-02],46.04910179640718,23.010778443113775
Brazil,ALO,2,C4,Exponential with Asymptote,0.018732256334411727,0.7898749517778167,0.8888888888888888,[75.96827854  0.80245467 77.0571927 ],46.04910179640718,23.010778443113775
Brazil,ALO,3,C4,Linear (fallback),0.03864907841269837,0.061660084918792935,0.9333333333333333,"[np.float64(0.01166428571428553), np.float64(75.88721666666666)]",46.04910179640718,23.010778443113775
Brazil,ALO,5,C5,Linear (fallback),8.76967200000003,0.8038381811297286,1.3333333333333333,"[np.float64(-7.341999999999999), np.float64(104.59)]",46.04910179640718,23.010778443113775
