Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Mexico,VER,1,C5,Exponential with Asymptote,0.04027410598582685,0.22463431470483153,0.6956521739130435,[8.31139263e+01 1.80570090e-03 9.22471000e+01],41.689090909090915,24.312727272727273
Mexico,VER,2,C4,Exponential with Asymptote,0.026748607127277387,0.12651812174568133,0.7894736842105263,[8.23256764e+01 6.57328004e-04 9.10646000e+01],41.689090909090915,24.312727272727273
Mexico,VER,3,C4,Exponential with Asymptote,2.24811726156679,0.8466095014441586,0.6666666666666666,[91.74338032  1.         81.72306443],41.689090909090915,24.312727272727273
Mexico,GAS,1,C4,Exponential with Asymptote,0.05218144032802987,0.68649456624952,0.6285714285714286,[86.39796734  0.33104717 84.87307266],41.689090909090915,24.312727272727273
Mexico,GAS,2,C5,Exponential with Asymptote,0.04380679286429737,0.6189160872099231,1.1578947368421053,[82.31633087  0.21930563 83.22760395],41.689090909090915,24.312727272727273
Mexico,GAS,3,C5,Exponential with Asymptote,0.081871853104989,0.26683108064680605,1.3333333333333333,[83.95172213  1.         83.46068641],41.689090909090915,24.312727272727273
Mexico,PER,1,C5,Exponential with Asymptote,0.0177868043264769,0.18118347560102088,0.8421052631578947,[8.33121636e+01 1.13594556e-03 9.21371000e+01],41.689090909090915,24.312727272727273
Mexico,PER,2,C4,Exponential with Asymptote,0.11246998183778151,0.4093958006417745,0.9473684210526315,[8.20734668e+01 1.56013895e-02 8.42444084e+01],41.689090909090915,24.312727272727273
Mexico,PER,3,C4,Exponential with Asymptote,0.26207764442028714,0.8720863984348526,0.6666666666666666,[86.0200531   1.         82.21758155],41.689090909090915,24.312727272727273
Mexico,ALO,1,C4,Exponential with Asymptote,0.024238672781247195,0.5219437067171515,0.8108108108108109,[84.8418218   0.0917211  84.17850235],41.689090909090915,24.312727272727273
