Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Monaco,VER,1,C1,Double Exponential,0.19490662308207116,0.9857519108485698,0.9333333333333333,[1.13931846e+02 1.00000000e+00 6.82186506e-03 1.07935124e-01],31.038367346938774,22.27469387755102
Monaco,VER,2,C1,Linear (fallback),2.216214222222204,0.12974453682137643,1.3333333333333333,"[np.float64(-0.7040000000000006), np.float64(87.61433333333332)]",31.038367346938774,22.27469387755102
Monaco,VER,3,C2,Exponential,2.6014794502272123,0.7860865170232009,1.0,[8.96000239e+01 3.26381334e-02],31.038367346938774,22.27469387755102
Monaco,GAS,2,C2,Linear (fallback),2.085562722222209,0.8766175485685765,1.3333333333333333,"[np.float64(-4.714500000000001), np.float64(91.29383333333334)]",31.038367346938774,22.27469387755102
Monaco,PER,1,C1,Double Exponential,0.1905682412506395,0.9823613842474506,0.6153846153846154,[1.10302800e+02 7.95903639e-01 6.53539987e-03 8.11801144e-02],31.038367346938774,22.27469387755102
Monaco,PER,2,C1,Exponential with Asymptote,3.9073149577103443,0.2829331140983071,0.8,[90.83583189  1.         87.42514595],31.038367346938774,22.27469387755102
Monaco,PER,3,C2,Exponential,6.498208624393309,0.6899052338780773,1.0,[9.17169318e+01 3.98059904e-02],31.038367346938774,22.27469387755102
Monaco,ALO,1,C1,Double Exponential,0.15938904511179122,0.9902558403284721,0.8888888888888888,[1.14944500e+02 1.00000000e+00 6.62832788e-03 1.05873069e-01],31.038367346938774,22.27469387755102
Monaco,ALO,2,C1,Exponential,1.0040953095443323,0.90835413417701,1.0,[9.24163198e+01 3.21690800e-02],31.038367346938774,22.27469387755102
Monaco,LEC,1,C1,Double Exponential,0.16904386945040978,0.985260637501975,0.9333333333333333,[1.07326750e+02 7.02290221e-01 6.56520483e-03 5.95471294e-02],31.038367346938774,22.27469387755102
Monaco,LEC,3,C2,Exponential with Asymptote,0.3502363838917514,0.9760271491197036,1.2,[92.81916025  0.53402006 80.92856835],31.038367346938774,22.27469387755102
Monaco,STR,1,C2,Exponential,3.550553567708116,0.8663213786518825,0.38095238095238093,[1.05303957e+02 8.23113635e-03],31.038367346938774,22.27469387755102
Monaco,STR,4,None,Exponential with Asymptote,0.14467273922334659,0.9499966472582647,0.5,[84.060946    0.1260892  77.92526225],31.038367346938774,22.27469387755102
Monaco,TSU,1,C1,Exponential,35.222321800899685,0.7678712820196383,1.0,[1.28419292e+02 8.71203903e-02],31.038367346938774,22.27469387755102
