Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Netherlands,VER,1,C5,Exponential with Asymptote,0.013819457562425454,0.16549622056302782,0.5,[76.35961813  0.30997236 76.54350513],33.44601226993865,22.73006134969325
Netherlands,VER,2,C4,Linear (fallback),0.05398095430399568,0.07130665326368879,0.7407407407407407,"[np.float64(-0.008137794240126122), np.float64(76.20172745802832)]",33.44601226993865,22.73006134969325
Netherlands,VER,4,C3,Exponential with Asymptote,1.4041959925446468,0.8647960265946538,0.6666666666666666,[82.30917478  1.         73.78395524],33.44601226993865,22.73006134969325
Netherlands,VER,6,C5,Exponential with Asymptote,0.9176950818356876,0.9957500812449038,0.3333333333333333,[127.0729911    1.          73.70424096],33.44601226993865,22.73006134969325
Netherlands,GAS,1,C5,Exponential with Asymptote,1.0942704273614416,0.3490410252824171,0.4,[7.76047160e+01 2.17495859e-02 9.06653000e+01],33.44601226993865,22.73006134969325
Netherlands,GAS,2,C4,Exponential with Asymptote,0.046381421867137444,0.3405911657274411,0.9473684210526315,[7.73521665e+01 7.40589744e-02 7.80487286e+01],33.44601226993865,22.73006134969325
Netherlands,GAS,3,C3,Double Exponential,0.0028223190570126552,0.891114442217252,0.9090909090909091,[7.66108219e+01 5.67632415e-04 5.76349646e-04 6.15321501e-01],33.44601226993865,22.73006134969325
Netherlands,GAS,5,C3,Exponential with Asymptote,2.652124095427866,0.8493645316430727,0.6666666666666666,[86.61672084  1.         75.61628345],33.44601226993865,22.73006134969325
Netherlands,GAS,8,C5,Exponential with Asymptote,0.3260030166553458,0.15992910359767498,0.6666666666666666,[7.54710958e+01 8.09485108e-03 8.46417000e+01],33.44601226993865,22.73006134969325
Netherlands,PER,1,C5,Exponential with Asymptote,0.03290552796622142,0.5569266984301372,0.3333333333333333,[7.68259372e+01 7.16500524e-03 8.53193000e+01],33.44601226993865,22.73006134969325
Netherlands,PER,2,C4,Exponential with Asymptote,0.0794945530745782,0.5382915336629973,0.8695652173913043,[7.60682562e+01 4.99451492e-03 8.54898000e+01],33.44601226993865,22.73006134969325
Netherlands,PER,3,C3,Linear (fallback),0.34803365999999647,0.0698332147752655,0.8,"[np.float64(-0.11430000000000007), np.float64(75.719)]",33.44601226993865,22.73006134969325
Netherlands,PER,5,C3,Exponential with Asymptote,8.350714760971902,0.8853658812337719,0.5714285714285714,[97.15133616  1.         73.39025783],33.44601226993865,22.73006134969325
Netherlands,PER,7,C4,Exponential with Asymptote,1.1089339771060884,0.9937584061803972,0.3333333333333333,[123.34157867   1.          74.98022261],33.44601226993865,22.73006134969325
Netherlands,ALO,1,C5,Exponential with Asymptote,0.07756064403459255,0.5441731993780639,1.2,[79.02568937  1.         78.01490325],33.44601226993865,22.73006134969325
Netherlands,ALO,2,C3,Exponential with Asymptote,0.06333944383366137,0.10327639107250253,0.9090909090909091,[76.65416744  0.20786399 76.99424496],33.44601226993865,22.73006134969325
Netherlands,ALO,4,C5,Exponential with Asymptote,6.975429686033601,0.7888343817924214,0.5714285714285714,[89.41169191  1.         74.30857192],33.44601226993865,22.73006134969325
Netherlands,ALO,6,C5,Exponential with Asymptote,0.6367920311090828,0.9961147877255206,0.3333333333333333,[121.48563242   1.          74.98069158],33.44601226993865,22.73006134969325
Netherlands,LEC,1,C5,Exponential with Asymptote,0.05704032237852678,0.41519327241994786,0.8,[7.64240733e+01 5.50120188e-03 8.51543000e+01],33.44601226993865,22.73006134969325
Netherlands,LEC,2,C4,Exponential with Asymptote,0.022581768083253382,0.20529930994886258,0.6923076923076923,[76.17215579  0.19078229 76.45505176],33.44601226993865,22.73006134969325
Netherlands,LEC,4,C3,Exponential with Asymptote,9.288780576283106,0.8968978362814192,0.5714285714285714,[100.27661168   1.          73.68058078],33.44601226993865,22.73006134969325
Netherlands,LEC,6,C5,Exponential with Asymptote,0.9360472525717437,0.9950915689720778,0.6666666666666666,[124.59656889   1.          74.45914309],33.44601226993865,22.73006134969325
Netherlands,STR,1,C5,Exponential with Asymptote,0.047964714728441105,0.2759191003165852,0.8571428571428571,[78.19405099  1.         77.68247898],33.44601226993865,22.73006134969325
Netherlands,STR,2,C4,Exponential with Asymptote,0.013458772513948327,0.19155788635887117,0.9,[7.71799491e+01 6.26779925e-04 6.14640000e+01],33.44601226993865,22.73006134969325
Netherlands,STR,3,C3,Linear (fallback),0.06942977551020353,0.0707651168761595,1.1428571428571428,"[np.float64(0.03635714285714136), np.float64(75.78692857142856)]",33.44601226993865,22.73006134969325
Netherlands,STR,5,C3,Exponential with Asymptote,4.834757117274539,0.8338080836121512,0.5714285714285714,[89.70296518  1.         75.1310944 ],33.44601226993865,22.73006134969325
Netherlands,STR,7,C5,Exponential with Asymptote,0.09075716577270428,0.5218712240066998,0.3333333333333333,[78.49674791  1.         75.4527916 ],33.44601226993865,22.73006134969325
Netherlands,MAG,1,C4,Exponential with Asymptote,0.10011531934394843,0.6529861711103349,0.5454545454545454,[77.3397598   0.17845533 79.32506584],33.44601226993865,22.73006134969325
Netherlands,MAG,2,C4,Exponential with Asymptote,0.014801042035691872,0.7510504353915288,0.7777777777777778,[77.13412187  0.39616167 77.91769994],33.44601226993865,22.73006134969325
Netherlands,MAG,6,C5,Exponential with Asymptote,0.0049460370144812455,0.12653624923310314,1.3333333333333333,[7.54131974e+01 2.02739344e-03 8.31633000e+01],33.44601226993865,22.73006134969325
Netherlands,MAG,9,C5,Exponential with Asymptote,0.03277404936145716,0.3547641923866677,0.8333333333333334,[7.61769415e+01 4.43979200e-03 8.45075000e+01],33.44601226993865,22.73006134969325
Netherlands,TSU,1,C5,Double Exponential,0.04679940266759625,0.4661868065746987,0.8,[7.87913133e+01 1.00000000e+00 3.52313066e-20 8.52308997e-03],33.44601226993865,22.73006134969325
Netherlands,TSU,2,C4,Exponential with Asymptote,0.02618897606763564,0.16719047742552262,0.6666666666666666,[77.21494293  0.46545142 77.53528883],33.44601226993865,22.73006134969325
Netherlands,ALB,1,C4,Exponential with Asymptote,0.13488889140195295,0.20789960532823581,0.42105263157894735,[79.16225036  1.         78.35206905],33.44601226993865,22.73006134969325
Netherlands,ALB,2,C4,Exponential with Asymptote,0.01667301013969144,0.42818429846741135,0.7058823529411765,[7.75336675e+01 1.22704058e-03 6.16488001e+01],33.44601226993865,22.73006134969325
Netherlands,ALB,3,C3,Linear (fallback),0.0028125000000005685,0.8607719217187235,1.3333333333333333,"[np.float64(-0.16149999999999665), np.float64(76.55449999999999)]",33.44601226993865,22.73006134969325
Netherlands,ALB,4,C3,Exponential with Asymptote,4.2519125423281485,0.9507946131581988,0.5714285714285714,[101.77473342   1.          74.95656768],33.44601226993865,22.73006134969325
Netherlands,ALB,7,C5,Linear (fallback),0.24337664966977357,0.1039483773742289,0.3333333333333333,"[np.float64(0.048674825174824944), np.float64(75.91320512820513)]",33.44601226993865,22.73006134969325
Netherlands,ZHO,1,C5,Exponential with Asymptote,0.6491368059061011,0.29272231460150777,0.36363636363636365,[7.79166876e+01 1.48413173e-02 8.94509000e+01],33.44601226993865,22.73006134969325
Netherlands,ZHO,2,C5,Exponential with Asymptote,0.059388716454637634,0.36101769181300736,1.1304347826086956,[77.01334362  0.34629603 77.73207346],33.44601226993865,22.73006134969325
Netherlands,ZHO,3,C4,Exponential with Asymptote,2.106268857077247,0.1557823201386458,0.5,[7.67031507e+01 2.16343462e-02 8.97281000e+01],33.44601226993865,22.73006134969325
Netherlands,ZHO,4,C4,Exponential with Asymptote,2.2022821175674774,0.9705953548699484,1.1428571428571428,[101.59259451   1.          76.366647  ],33.44601226993865,22.73006134969325
Netherlands,ZHO,6,C5,Exponential with Asymptote,0.08724171212032832,0.44044180219973883,1.4285714285714286,[79.11565944  1.         76.42023776],33.44601226993865,22.73006134969325
Netherlands,RIC,1,C5,Exponential with Asymptote,0.038227772700845576,0.6539137511119939,0.8888888888888888,[79.15646951  1.         78.29625953],33.44601226993865,22.73006134969325
Netherlands,RIC,2,C4,Linear (fallback),0.11581463547880758,0.07341181470879465,1.0,"[np.float64(-0.023762637362637232), np.float64(78.3876)]",33.44601226993865,22.73006134969325
Netherlands,RIC,3,C3,Exponential with Asymptote,0.4211069269928668,0.17680196279264404,0.75,[76.78004199  0.19820404 77.81454617],33.44601226993865,22.73006134969325
Netherlands,RIC,6,C5,Exponential with Asymptote,0.032510818152750386,0.2689675988710899,0.6666666666666666,[76.04112447  1.         75.73000641],33.44601226993865,22.73006134969325
Netherlands,RIC,8,C5,Exponential with Asymptote,0.11681735134735412,0.14868251207542105,1.0,[7.59875093e+01 4.23314805e-03 8.45625000e+01],33.44601226993865,22.73006134969325
Netherlands,OCO,1,C5,Exponential with Asymptote,0.030432019340389856,0.1163387614627801,0.875,[7.78937410e+01 1.68360661e-03 8.61476000e+01],33.44601226993865,22.73006134969325
Netherlands,OCO,4,C3,Exponential with Asymptote,5.421191530997355,0.8594808998326631,0.5714285714285714,[92.75320153  1.         75.71602242],33.44601226993865,22.73006134969325
Netherlands,OCO,6,C5,Exponential with Asymptote,0.06014344410629797,0.63321011575169,0.3333333333333333,[78.49406026  1.         75.37769668],33.44601226993865,22.73006134969325
Netherlands,NOR,4,C5,Exponential with Asymptote,5.14236682490411,0.8156298276653234,0.5714285714285714,[88.83749368  1.         74.7256868 ],33.44601226993865,22.73006134969325
Netherlands,NOR,6,C5,Exponential with Asymptote,0.6074728466854441,0.9963267353908499,0.3333333333333333,[121.70746834   1.          74.98872109],33.44601226993865,22.73006134969325
Netherlands,HAM,1,C4,Linear (fallback),0.07632632940653183,0.054042620740412106,0.6666666666666666,"[np.float64(-0.008478021978021848), np.float64(77.04347354497355)]",33.44601226993865,22.73006134969325
Netherlands,HAM,2,C3,Exponential with Asymptote,0.08077117528504206,0.19802128997779633,1.3333333333333333,[75.8818572   0.16738454 75.40221196],33.44601226993865,22.73006134969325
Netherlands,HAM,4,C4,Exponential with Asymptote,0.361830315467954,0.9334750805826126,0.6666666666666666,[79.97826169  1.         73.56850929],33.44601226993865,22.73006134969325
Netherlands,HAM,6,C4,Exponential with Asymptote,1.0975201033400208,0.9962905624152879,0.6153846153846154,[139.48786578   1.          74.71420531],33.44601226993865,22.73006134969325
Netherlands,MSC,1,C4,Exponential with Asymptote,0.03482527714900998,0.2979893007195178,1.4545454545454546,[78.45404631  0.73310312 78.04323607],33.44601226993865,22.73006134969325
