Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Spain,VER,1,C5,Exponential with Asymptote,0.007567211371463856,0.8559086825505182,1.1428571428571428,[8.74744033e+01 1.16022517e-02 9.69265000e+01],48.957317073170735,36.56585365853658
Spain,VER,2,C5,Linear (fallback),0.8755370500000064,0.5479371341666304,1.0,"[np.float64(0.9214000000000027), np.float64(88.5899)]",48.957317073170735,36.56585365853658
Spain,VER,3,C4,Exponential with Asymptote,0.050917891538486026,0.6435346172677783,0.6666666666666666,[87.58782488  0.22147616 88.64207562],48.957317073170735,36.56585365853658
Spain,VER,4,C5,Exponential with Asymptote,0.10792885873100352,0.4820599320417446,1.0,[86.04585753  0.23781624 87.14872305],48.957317073170735,36.56585365853658
Spain,VER,5,C4,Exponential with Asymptote,0.05547071170836283,0.8098257147108952,0.47619047619047616,[85.45985111  0.17632452 87.20462706],48.957317073170735,36.56585365853658
Spain,PER,1,C5,Exponential with Asymptote,0.05360758399191159,0.845615013731663,0.7142857142857143,[87.65123694  0.19793799 89.53837468],48.957317073170735,36.56585365853658
Spain,PER,2,C4,Exponential with Asymptote,0.06485858523969283,0.6876378288745413,1.1111111111111112,[86.99729055  0.2865444  88.34851072],48.957317073170735,36.56585365853658
Spain,PER,3,C4,Exponential with Asymptote,0.03178164085306469,0.6459583423472706,1.0769230769230769,[8.66975823e+01 6.33240833e-03 9.64128000e+01],48.957317073170735,36.56585365853658
Spain,PER,4,C5,Exponential with Asymptote,0.03611730520804967,0.27690570240051715,1.2727272727272727,[85.54751184  0.34685662 86.10326138],48.957317073170735,36.56585365853658
Spain,RUS,1,C5,Exponential with Asymptote,0.039475679468590104,0.8819189916460162,0.9090909090909091,[87.69690409  0.1462252  89.94233067],48.957317073170735,36.56585365853658
Spain,RUS,2,C4,Exponential with Asymptote,0.030003701859858865,0.8544990884490582,1.0526315789473684,[8.78412841e+01 1.70077622e-02 9.25344936e+01],48.957317073170735,36.56585365853658
Spain,RUS,3,C4,Exponential with Asymptote,0.1192222525803875,0.32361745803643127,0.6153846153846154,[86.90442002  0.38966366 87.71882023],48.957317073170735,36.56585365853658
Spain,RUS,4,C5,Exponential with Asymptote,0.14095186652281744,0.883732087802903,0.7692307692307693,[8.49302533e+01 2.47688546e-02 9.78296000e+01],48.957317073170735,36.56585365853658
Spain,SAI,1,C5,Exponential with Asymptote,0.02645230420281493,0.21379977141802076,0.8,[8.82207110e+01 6.51935103e-03 9.74743000e+01],48.957317073170735,36.56585365853658
Spain,SAI,2,C5,Linear (fallback),0.8946760555555578,0.7972947720473729,1.3333333333333333,"[np.float64(2.2974999999999994), np.float64(89.42116666666666)]",48.957317073170735,36.56585365853658
Spain,SAI,3,C4,Exponential with Asymptote,0.18067809565360454,0.2413883135704309,0.8421052631578947,[88.00907014  0.23129531 88.86365485],48.957317073170735,36.56585365853658
Spain,SAI,4,C4,Exponential with Asymptote,0.03377827114739699,0.8862633705468859,0.6666666666666666,[8.64753545e+01 1.53681386e-02 9.69375000e+01],48.957317073170735,36.56585365853658
Spain,SAI,5,C5,Exponential with Asymptote,0.09027990062378782,0.8404885229113531,0.8888888888888888,[8.58436570e+01 1.13178714e-02 9.70816000e+01],48.957317073170735,36.56585365853658
Spain,HAM,1,C4,Exponential with Asymptote,0.15612141523925463,0.7111362491709952,0.5263157894736842,[8.80774141e+01 1.09620130e-02 9.95280000e+01],48.957317073170735,36.56585365853658
Spain,HAM,3,C5,Exponential with Asymptote,0.6244167804307362,0.6845701839535825,1.0666666666666667,[8.43602383e+01 2.12035291e-02 9.88163000e+01],48.957317073170735,36.56585365853658
Spain,BOT,1,C5,Exponential with Asymptote,0.08596824083993156,0.22515315163208272,1.1666666666666667,[8.89270367e+01 1.40137841e-02 9.24526888e+01],48.957317073170735,36.56585365853658
Spain,BOT,2,C4,Exponential with Asymptote,0.037578250081682744,0.5697491186574176,1.5555555555555556,[8.82930747e+01 4.47006827e-03 9.82542000e+01],48.957317073170735,36.56585365853658
Spain,BOT,3,C4,Exponential with Asymptote,0.27179091426256996,0.5914527541916685,0.6,[8.72593730e+01 6.29173449e-03 9.94158000e+01],48.957317073170735,36.56585365853658
Spain,OCO,1,C5,Linear (fallback),0.12340862727272679,0.07698092104823706,0.7272727272727273,"[np.float64(0.03208181818181789), np.float64(89.30377272727273)]",48.957317073170735,36.56585365853658
Spain,OCO,2,C4,Exponential with Asymptote,0.028613745906066405,0.7867854653613368,0.7777777777777778,[88.71007005  0.09432024 89.98364764],48.957317073170735,36.56585365853658
Spain,OCO,3,C5,Exponential with Asymptote,0.03766198182441853,0.7877281575891183,1.0,[8.71404986e+01 5.57290877e-02 8.93501358e+01],48.957317073170735,36.56585365853658
Spain,OCO,4,C5,Exponential with Asymptote,0.04730111385038282,0.9060612069652049,1.2307692307692308,[8.59090972e+01 1.80010785e-02 9.70409000e+01],48.957317073170735,36.56585365853658
Spain,NOR,1,C5,Exponential with Asymptote,0.022977060741290304,0.34262979597486076,1.2,[90.23301206  1.         89.86949507],48.957317073170735,36.56585365853658
Spain,NOR,2,C4,Exponential with Asymptote,0.10637536979720441,0.4688692205623002,1.368421052631579,[90.70972356  1.         89.39024274],48.957317073170735,36.56585365853658
Spain,NOR,3,C5,Exponential with Asymptote,0.27366204687034895,0.1816869970847802,0.875,[8.76799582e+01 5.05050365e-03 9.84973000e+01],48.957317073170735,36.56585365853658
Spain,NOR,4,C5,Exponential with Asymptote,0.12980654459736987,0.8886833863115859,0.5714285714285714,[8.54455696e+01 2.30930038e-02 9.80969000e+01],48.957317073170735,36.56585365853658
Spain,ALO,1,C5,Exponential,0.30790229165148486,0.10990603548943689,1.25,[9.03826352e+01 9.45874141e-04],48.957317073170735,36.56585365853658
Spain,ALO,2,C4,Exponential with Asymptote,0.021821459131659098,0.6635442241199054,0.8421052631578947,[88.9227604   0.90965175 89.80690224],48.957317073170735,36.56585365853658
Spain,ALO,4,C5,Exponential with Asymptote,0.09606775267500446,0.7596813228169176,0.7272727272727273,[8.63712844e+01 1.71154551e-02 9.73423000e+01],48.957317073170735,36.56585365853658
Spain,TSU,1,C5,Exponential with Asymptote,0.7407439690609495,0.4061746276061705,0.4,[8.94588892e+01 1.93465124e-02 1.03084300e+02],48.957317073170735,36.56585365853658
Spain,TSU,2,C4,Exponential with Asymptote,0.031113141617720268,0.7345328463910606,1.368421052631579,[88.76007104  0.20725732 89.80372142],48.957317073170735,36.56585365853658
Spain,TSU,3,C5,Exponential with Asymptote,0.05926785850777567,0.6674732821249669,0.4444444444444444,[89.76011675  1.         88.30938781],48.957317073170735,36.56585365853658
Spain,TSU,4,C5,Exponential with Asymptote,0.10989522313332818,0.40217910491607645,0.6666666666666666,[8.68917991e+01 7.93373785e-03 9.71454000e+01],48.957317073170735,36.56585365853658
Spain,VET,1,C5,Exponential with Asymptote,0.23486953570795402,0.10474922918182505,0.7368421052631579,[90.33876692  0.16831842 90.93371749],48.957317073170735,36.56585365853658
Spain,VET,3,C4,Exponential with Asymptote,0.17387731475590065,0.16178116849788882,0.8,[87.8992046   0.19705117 88.53083354],48.957317073170735,36.56585365853658
