Race,Driver,Stint,TyreCompound,Model,MSE,RSquared,UniformityScore,Parameters,TrackTemp,AirTemp
Spain,VER,1,C5,Exponential,0.007506998636059334,0.8570552254374253,1.1428571428571428,[ 8.74773556e+01 -1.20830618e-03],48.957317073170735,36.56585365853658
Spain,VER,3,C4,Exponential,0.014778587326395051,0.5721961310329693,0.8,[ 8.80182727e+01 -4.58097366e-04],48.957317073170735,36.56585365853658
Spain,VER,4,C5,Exponential with Asymptote,0.062230989602554826,0.5592256083566953,0.8333333333333334,[82.38909659  0.77474561 87.01222113],48.957317073170735,36.56585365853658
Spain,VER,5,C4,Double Exponential,0.03637323858879013,0.6888810296157202,0.8888888888888888,[ 8.64757776e+01 -2.99836078e-04 -3.79592094e-01  9.99996461e-01],48.957317073170735,36.56585365853658
Spain,PER,1,C5,Exponential with Asymptote,0.014039844951895088,0.9498920385975343,1.2727272727272727,[87.76352062  0.14002928 89.55768195],48.957317073170735,36.56585365853658
Spain,PER,2,C4,Exponential with Asymptote,0.06485858503713919,0.6876378298500496,1.1111111111111112,[86.99724814  0.28658094 88.3484819 ],48.957317073170735,36.56585365853658
Spain,PER,3,C4,Double Exponential,0.012974633167273063,0.8620866930405998,1.4545454545454546,[ 8.67772592e+01 -1.90011587e-04 -3.63794579e-01  9.99925944e-01],48.957317073170735,36.56585365853658
Spain,PER,4,C5,Exponential with Asymptote,0.006559082503100392,0.8451183044906208,1.25,[83.76081877  0.70429296 86.11499524],48.957317073170735,36.56585365853658
Spain,RUS,1,C5,Exponential,0.004609249373525773,0.9857173396246957,1.1111111111111112,[ 8.78080664e+01 -2.19474905e-03],48.957317073170735,36.56585365853658
Spain,RUS,2,C4,Exponential,0.026856977378322433,0.8614998638611998,1.1764705882352942,[ 8.78775673e+01 -7.32436405e-04],48.957317073170735,36.56585365853658
Spain,RUS,3,C4,Exponential,0.05566382910472525,0.5317655365617817,0.7272727272727273,[ 8.70060847e+01 -7.44185029e-04],48.957317073170735,36.56585365853658
Spain,RUS,4,C5,Exponential with Asymptote,0.047569492742490144,0.9476019021554194,0.5454545454545454,[8.48003330e+01 8.01072288e-02 8.96634423e+01],48.957317073170735,36.56585365853658
Spain,SAI,1,C5,Exponential,0.026338655771273856,0.21717756498074825,0.8,[ 8.82192631e+01 -6.84729601e-04],48.957317073170735,36.56585365853658
Spain,SAI,3,C4,Exponential with Asymptote,0.03547424814644173,0.7975399041957258,0.42857142857142855,[87.52689426  0.25079726 88.86021043],48.957317073170735,36.56585365853658
Spain,SAI,4,C4,Double Exponential,0.012723805171432822,0.9599173816401317,0.7272727272727273,[ 8.66878497e+01  6.15360032e-01 -2.29678303e-03  7.16919939e-03],48.957317073170735,36.56585365853658
